# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 7.342333793640136719e-01 4.341596662998199463e-01 1.725135892629623413e-01 6.808174252510070801e-01 4.341596662998199463e-01 1.725135892629623413e-01
1.000000000000000000e+03 1.170584466308355331e-02 5.490223318338394165e-02 7.893243432044982910e-02 6.398682482540607452e-03 5.490223318338394165e-02 7.893243432044982910e-02
2.000000000000000000e+03 4.057493526488542557e-03 3.800803422927856445e-02 2.781245671212673187e-02 1.899570343084633350e-03 3.800803422927856445e-02 2.781245671212673187e-02
3.000000000000000000e+03 2.574979560449719429e-03 3.184536099433898926e-02 2.114102616906166077e-02 1.365111791528761387e-03 3.184536099433898926e-02 2.114102616906166077e-02
4.000000000000000000e+03 4.563660826534032822e-03 2.641217410564422607e-02 2.122147195041179657e-02 2.733613597229123116e-03 2.641217410564422607e-02 2.122147195041179657e-02
5.000000000000000000e+03 1.702194567769765854e-03 2.541892230510711670e-02 1.752110198140144348e-02 1.082593691535294056e-03 2.541892230510711670e-02 1.752110198140144348e-02
6.000000000000000000e+03 1.359331770800054073e-03 2.401622943580150604e-02 1.519234199076890945e-02 8.585636969655752182e-04 2.401622943580150604e-02 1.519234199076890945e-02
7.000000000000000000e+03 1.331256120465695858e-03 2.154267020523548126e-02 1.444215234369039536e-02 8.253377163782715797e-04 2.154267020523548126e-02 1.444215234369039536e-02
8.000000000000000000e+03 1.406746800057590008e-03 1.967088691890239716e-02 1.352495886385440826e-02 8.249012753367424011e-04 1.967088691890239716e-02 1.352495886385440826e-02
9.000000000000000000e+03 1.509514986537396908e-03 1.798716746270656586e-02 1.281507965177297592e-02 8.268829551525413990e-04 1.798716746270656586e-02 1.281507965177297592e-02
1.000000000000000000e+04 1.626857905648648739e-03 1.670738123357295990e-02 1.215523481369018555e-02 8.920875261537730694e-04 1.670738123357295990e-02 1.215523481369018555e-02
1.100000000000000000e+04 4.679420031607151031e-03 1.513648219406604767e-02 1.253181137144565582e-02 2.033456228673458099e-03 1.513648219406604767e-02 1.253181137144565582e-02
1.200000000000000000e+04 1.843624282628297806e-03 1.458541210740804672e-02 1.091991085559129715e-02 1.082385075278580189e-03 1.458541210740804672e-02 1.091991085559129715e-02
1.300000000000000000e+04 1.897315145470201969e-03 1.368279941380023956e-02 1.036030706018209457e-02 1.139960018917918205e-03 1.368279941380023956e-02 1.036030706018209457e-02
1.400000000000000000e+04 1.944745657965540886e-03 1.280368119478225708e-02 9.860426187515258789e-03 1.182020409032702446e-03 1.280368119478225708e-02 9.860426187515258789e-03
1.500000000000000000e+04 2.004893263801932335e-03 1.196331810206174850e-02 9.396681562066078186e-03 1.228201435878872871e-03 1.196331810206174850e-02 9.396681562066078186e-03
1.500000000000000000e+04 2.004893263801932335e-03 1.196331810206174850e-02 9.396681562066078186e-03 1.228201435878872871e-03 1.196331810206174850e-02 9.396681562066078186e-03
